Run 124: 6.62371301651001s, incorrect: 5, correct: 17
Run 125: 6.657010078430176s, incorrect: 5, correct: 17
Run 126: 5.8414671421051025s, incorrect: 3, correct: 17
Run 127: 5.34125542640686s, incorrect: 1, correct: 17
Run 128: 6.034984588623047s, incorrect: 3, correct: 17
Run 129: 6.774661540985107s, incorrect: 6, correct: 17
Run 130: 7.180620908737183s, incorrect: 7, correct: 17
Run 131: 5.560259819030762s, incorrect: 2, correct: 17
Run 132: 6.312985897064209s, incorrect: 4, correct: 17
Run 133: 5.7692711353302s, incorrect: 2, correct: 17
Run 134: 6.042788028717041s, incorrect: 3, correct: 17
Run 135: 6.600094795227051s, incorrect: 5, correct: 17
Run 136: 5.316124200820923s, incorrect: 1, correct: 17
Run 137: 6.256091356277466s, incorrect: 4, correct: 17
Run 138: 5.922644853591919s, incorrect: 3, correct: 17
Run 139: 7.8694682121276855s, incorrect: 10, correct: 17
Run 140: 6.322081565856934s, incorrect: 4, correct: 17
Run 141: 5.239223003387451s, incorrect: 1, correct: 17
Run 142: 5.7260472774505615s, incorrect: 2, correct: 17
Run 143: 6.689262866973877s, incorrect: 5, correct: 17
Run 144: 5.546517848968506s, incorrect: 2, correct: 17
Run 145: 6.033958435058594s, incorrect: 3, correct: 17
Run 146: 6.196851491928101s, incorrect: 4, correct: 17
Run 147: 6.559685945510864s, incorrect: 5, correct: 17
Run 148: 5.743618488311768s, incorrect: 2, correct: 17
Run 149: 6.232486248016357s, incorrect: 4, correct: 17
Run 150: 6.333307981491089s, incorrect: 4, correct: 17
Run 151: 6.053997993469238s, incorrect: 3, correct: 17
Run 152: 5.694722652435303s, incorrect: 2, correct: 17
Run 153: 6.318525552749634s, incorrect: 4, correct: 17
Run 154: 5.940499305725098s, incorrect: 3, correct: 17
Run 155: 5.3798606395721436s, incorrect: 1, correct: 17
Run 156: 6.096065282821655s, incorrect: 4, correct: 17
Run 157: 5.44468355178833s, incorrect: 1, correct: 17
Run 158: 5.588510274887085s, incorrect: 2, correct: 17
Run 159: 5.656431198120117s, incorrect: 2, correct: 17
Run 160: 6.242120027542114s, incorrect: 4, correct: 17
Run 161: 6.1793928146362305s, incorrect: 4, correct: 17
Run 162: 5.633285045623779s, incorrect: 2, correct: 17
Run 163: 6.775278806686401s, incorrect: 6, correct: 17
Run 164: 6.506535291671753s, incorrect: 5, correct: 17
Run 165: 5.627057790756226s, incorrect: 2, correct: 17
Run 166: 6.1085968017578125s, incorrect: 4, correct: 17
Run 167: 5.096040964126587s, incorrect: 0, correct: 17
Run 168: 5.334176301956177s, incorrect: 1, correct: 17
Run 169: 6.036032438278198s, incorrect: 3, correct: 17
Run 170: 5.8559958934783936s, incorrect: 3, correct: 17
Run 171: 5.407458066940308s, incorrect: 1, correct: 17
Run 172: 5.239375352859497s, incorrect: 1, correct: 17
Run 173: 6.513028383255005s, incorrect: 5, correct: 17
Run 174: 6.2973692417144775s, incorrect: 4, correct: 17
Run 175: 6.192995548248291s, incorrect: 4, correct: 17
Run 176: 5.967004776000977s, incorrect: 3, correct: 17
Run 177: 6.081825494766235s, incorrect: 4, correct: 17
Run 178: 6.271042346954346s, incorrect: 4, correct: 17
Run 179: 5.663199424743652s, incorrect: 2, correct: 17
Run 180: 6.571655035018921s, incorrect: 5, correct: 17
Run 181: 6.795928716659546s, incorrect: 6, correct: 17
Run 182: 6.113960266113281s, incorrect: 4, correct: 17
Run 183: 5.130497932434082s, incorrect: 0, correct: 17
Run 184: 5.801207780838013s, incorrect: 3, correct: 17
Run 185: 5.9434874057769775s, incorrect: 3, correct: 17
Run 186: 6.1764302253723145s, incorrect: 4, correct: 17
Run 187: 7.164811134338379s, incorrect: 8, correct: 17
Run 188: 6.010842561721802s, incorrect: 3, correct: 17
Run 189: 5.620036840438843s, incorrect: 2, correct: 17
Run 190: 5.726669788360596s, incorrect: 2, correct: 17
Run 191: 6.227050542831421s, incorrect: 4, correct: 17
Run 192: 6.671527624130249s, incorrect: 6, correct: 17
Run 193: 5.660940647125244s, incorrect: 2, correct: 17
Run 194: 7.433245420455933s, incorrect: 8, correct: 17
Run 195: 5.261853456497192s, incorrect: 1, correct: 17
Run 196: 6.779628038406372s, incorrect: 6, correct: 17
Run 197: 5.817562103271484s, incorrect: 3, correct: 17
Run 198: 5.662800312042236s, incorrect: 2, correct: 17
Run 199: 5.8330981731414795s, incorrect: 3, correct: 17
Run 200: 5.663102865219116s, incorrect: 2, correct: 17
Run 201: 5.99753737449646s, incorrect: 3, correct: 17
Run 202: 6.631938934326172s, incorrect: 6, correct: 17
Run 203: 6.601796388626099s, incorrect: 5, correct: 17
Run 204: 5.55465841293335s, incorrect: 2, correct: 17
Run 205: 6.961147785186768s, incorrect: 6, correct: 17
Run 206: 5.161094427108765s, incorrect: 0, correct: 17
Run 207: 5.900043249130249s, incorrect: 3, correct: 17
Run 208: 5.663449048995972s, incorrect: 2, correct: 17
Run 209: 7.626713752746582s, incorrect: 9, correct: 17
Run 210: 5.901433706283569s, incorrect: 3, correct: 17
Run 211: 6.8430821895599365s, incorrect: 6, correct: 17
Run 212: 6.354725122451782s, incorrect: 5, correct: 17
Run 213: 5.7121052742004395s, incorrect: 2, correct: 17
Run 214: 6.914409875869751s, incorrect: 6, correct: 17
Run 215: 6.817179203033447s, incorrect: 6, correct: 17
Run 216: 5.685741901397705s, incorrect: 2, correct: 17
Run 219: 5.684181213378906s, incorrect: 2, correct: 17
Run 220: 6.273012399673462s, incorrect: 4, correct: 17
Run 221: 6.987044095993042s, incorrect: 6, correct: 17
Run 222: 5.95476222038269s, incorrect: 3, correct: 17
Run 223: 6.647261619567871s, incorrect: 5, correct: 17
Run 224: 5.945473909378052s, incorrect: 3, correct: 17
Run 225: 6.652041912078857s, incorrect: 6, correct: 17
Run 226: 6.54284405708313s, incorrect: 5, correct: 17
Run 227: 5.008487701416016s, incorrect: 0, correct: 17
Run 228: 7.654369354248047s, incorrect: 9, correct: 17
Run 229: 5.923855543136597s, incorrect: 3, correct: 17
Run 230: 5.3210694789886475s, incorrect: 1, correct: 17
Run 231: 6.813636302947998s, incorrect: 6, correct: 17
Run 232: 5.246055841445923s, incorrect: 1, correct: 17
Run 233: 5.656850337982178s, incorrect: 2, correct: 17
Run 234: 6.254094123840332s, incorrect: 4, correct: 17
Run 235: 5.518465757369995s, incorrect: 2, correct: 17
Run 236: 6.761869192123413s, incorrect: 6, correct: 17
Run 237: 6.79431414604187s, incorrect: 6, correct: 17
Run 238: 5.312315940856934s, incorrect: 1, correct: 17
Run 239: 5.825023889541626s, incorrect: 2, correct: 17
Run 240: 5.602864980697632s, incorrect: 2, correct: 17
Run 241: 5.967052221298218s, incorrect: 3, correct: 17
Run 242: 6.995354175567627s, incorrect: 7, correct: 17
Run 243: 6.201166391372681s, incorrect: 4, correct: 17
Run 244: 5.241543531417847s, incorrect: 1, correct: 17
Run 245: 5.725857496261597s, incorrect: 2, correct: 17
Run 246: 7.0708746910095215s, incorrect: 7, correct: 17
Run 247: 5.544426918029785s, incorrect: 2, correct: 17
Run 248: 6.51986837387085s, incorrect: 5, correct: 17
Run 249: 6.501888990402222s, incorrect: 5, correct: 17
Run 250: 7.085108995437622s, incorrect: 7, correct: 17
Run 251: 5.985174655914307s, incorrect: 3, correct: 17
Run 252: 6.154633045196533s, incorrect: 4, correct: 17
Run 253: 5.897284507751465s, incorrect: 3, correct: 17
Run 254: 6.295368671417236s, incorrect: 4, correct: 17
Run 255: 5.561758279800415s, incorrect: 2, correct: 17
Run 256: 5.603050947189331s, incorrect: 2, correct: 17
Run 257: 6.116594552993774s, incorrect: 4, correct: 17
Run 258: 5.641685724258423s, incorrect: 2, correct: 17
Run 259: 6.29276180267334s, incorrect: 4, correct: 17
Run 260: 5.424766778945923s, incorrect: 1, correct: 17
Run 261: 5.570373773574829s, incorrect: 2, correct: 17
Run 262: 6.354128837585449s, incorrect: 4, correct: 17
Run 263: 7.158706426620483s, incorrect: 7, correct: 17
Run 264: 5.830371379852295s, incorrect: 3, correct: 17
Run 265: 5.6442835330963135s, incorrect: 2, correct: 17
Run 266: 6.163671493530273s, incorrect: 4, correct: 17
Run 267: 5.348266839981079s, incorrect: 1, correct: 17
Run 268: 5.603959083557129s, incorrect: 2, correct: 17
Run 269: 5.877913236618042s, incorrect: 3, correct: 17
Run 270: 5.75433611869812s, incorrect: 2, correct: 17
Run 271: 5.601400852203369s, incorrect: 2, correct: 17
Run 272: 6.5498247146606445s, incorrect: 5, correct: 17
Run 273: 5.273369312286377s, incorrect: 1, correct: 17
Run 274: 5.786996364593506s, incorrect: 2, correct: 17
Run 275: 6.755345106124878s, incorrect: 6, correct: 17
Run 276: 5.858832836151123s, incorrect: 3, correct: 17
Run 277: 6.195203065872192s, incorrect: 4, correct: 17
Run 278: 5.863768577575684s, incorrect: 3, correct: 17
Run 279: 5.0900352001190186s, incorrect: 0, correct: 17
Run 280: 5.570356369018555s, incorrect: 2, correct: 17
Run 281: 5.633894443511963s, incorrect: 2, correct: 17
Run 282: 5.466648101806641s, incorrect: 2, correct: 17
Run 283: 7.129322290420532s, incorrect: 7, correct: 17
Run 284: 6.176391363143921s, incorrect: 4, correct: 17
Run 285: 5.21386194229126s, incorrect: 1, correct: 17
Run 286: 5.862840890884399s, incorrect: 3, correct: 17
Run 287: 5.225399971008301s, incorrect: 1, correct: 17
Run 288: 5.752483129501343s, incorrect: 2, correct: 17
Run 289: 5.541086912155151s, incorrect: 2, correct: 17
Run 290: 5.685515642166138s, incorrect: 2, correct: 17
Run 291: 6.012899398803711s, incorrect: 3, correct: 17
Run 292: 6.136250734329224s, incorrect: 4, correct: 17
Run 293: 5.9158775806427s, incorrect: 3, correct: 17
Run 294: 6.393482685089111s, incorrect: 5, correct: 17
Run 295: 7.159277677536011s, incorrect: 7, correct: 17
Run 296: 5.0814290046691895s, incorrect: 0, correct: 17
Run 297: 6.089003801345825s, incorrect: 4, correct: 17
Run 298: 5.872392416000366s, incorrect: 3, correct: 17
Run 299: 6.093239784240723s, incorrect: 4, correct: 17
Run 300: 6.412640571594238s, incorrect: 4, correct: 17
Run 301: 5.226272821426392s, incorrect: 1, correct: 17
Run 302: 5.633235931396484s, incorrect: 2, correct: 17
Run 303: 6.555422306060791s, incorrect: 5, correct: 17
Run 304: 5.490107774734497s, incorrect: 2, correct: 17
Run 305: 7.7057459354400635s, incorrect: 9, correct: 17
Run 306: 6.89267110824585s, incorrect: 6, correct: 17
Run 307: 5.849835634231567s, incorrect: 3, correct: 17
Run 308: 5.9388017654418945s, incorrect: 3, correct: 17
Run 309: 5.56204628944397s, incorrect: 2, correct: 17
